Financial Institution,Redeemable,Minimum Deposit,30_days,60_days,90_days,120_days,180_days,270_days,quote_date,settle_date
B2B Bank,no,5000,,,2.0,2.0,2.5,2.6,2025-08-05,2025-08-05
Community Trust,no,5000,1.15,1.25,1.55,1.8,2.85,2.95,2025-08-05,2025-08-05
Equitable Bank,no,5000,0.2,0.8,2.7,2.75,2.95,3.1,2025-08-05,2025-08-05
General Bank of Canada,no,10000,,,2.0,2.0,2.0,2.0,2025-08-05,2025-08-05
Haventree Bank,no,10000,0.1,0.15,1.1,1.1,2.75,2.96,2025-08-05,2025-08-05
Home Trust Company-Agent,no,5000,2.35,2.45,2.7,2.75,2.95,3.1,2025-08-05,2025-08-05
ICICI Bank Canada,no,5000,,,,,0.1,0.1,2025-08-05,2025-08-05
MCAN Mortgage Corp.,no,5000,2.42,2.68,3.1,3.12,3.16,3.25,2025-08-05,2025-08-05
Manulife Bank Agt.,no,25000,1.5,1.6,2.3,2.3,2.7,2.7,2025-08-05,2025-08-05
Manulife Trust Co. Agt.,no,25000,1.5,1.6,2.3,2.3,2.7,2.7,2025-08-05,2025-08-05
NatCan Trust Agent Ser.,no,5000,2.4,2.4,2.3,2.3,2.3,2.35,2025-08-05,2025-08-05
National Bank Agent Ser,no,5000,2.4,2.4,2.3,2.3,2.3,2.35,2025-08-05,2025-08-05
