Financial Institution,Compound Frequency,Payment Frequency,Redeemable,Redeemable Term,Minimum Deposit,1_y,2_y,3_y,4_y,5_y,quote_date,settle_date
B2B Bank,A,E,no,-,5000,3.17,3.54,3.72,3.71,3.85,2026-03-26,2026-03-26
B2B Bank,N,A,no,-,5000,3.17,3.54,3.72,3.71,3.85,2026-03-26,2026-03-26
Community Trust,A,E,no,-,5000,2.6,2.95,3.2,3.3,3.0,2026-03-26,2026-03-26
Community Trust,N,A,no,-,5000,2.6,2.95,3.2,3.3,3.0,2026-03-26,2026-03-26
Effort Trust,A,E,no,-,5000,3.2,2.6,2.6,2.6,2.6,2026-03-26,2026-03-26
Effort Trust,N,A,no,-,5000,3.2,2.6,2.6,2.6,2.6,2026-03-26,2026-03-26
Equitable Bank,A,E,no,-,5000,3.18,3.56,3.75,3.74,3.89,2026-03-26,2026-03-26
Equitable Bank,N,A,no,-,5000,3.18,3.56,3.75,3.74,3.89,2026-03-26,2026-03-26
Equitable Bank,N,A,cashable,30,5000,1.5,,,,,2026-03-26,2026-03-26
FirstOntario CU,A,E,no,-,5000,2.8,3.43,3.52,3.31,3.46,2026-03-26,2026-03-26
FirstOntario CU,N,A,no,-,5000,2.8,3.43,3.52,3.31,3.46,2026-03-26,2026-03-26
General Bank of Canada,A,E,no,-,5000,3.08,3.41,3.62,3.63,3.79,2026-03-26,2026-03-26
General Bank of Canada,N,A,no,-,5000,3.08,3.41,3.62,3.63,3.79,2026-03-26,2026-03-26
Haventree Bank,A,E,no,-,5000,3.18,3.55,3.7,3.73,3.85,2026-03-26,2026-03-26
Haventree Bank,N,A,no,-,5000,3.18,3.55,3.7,3.73,3.85,2026-03-26,2026-03-26
Home Trust Company-Agent,A,E,no,-,5000,3.17,3.54,3.7,3.71,3.85,2026-03-26,2026-03-26
Home Trust Company-Agent,N,A,no,-,5000,3.17,3.54,3.7,3.71,3.85,2026-03-26,2026-03-26
Home Trust Company-Agent,N,A,cashable,30,5000,2.15,,,,,2026-03-26,2026-03-26
Home Trust Company-Agent,N,A,cashable,90,5000,2.25,,,,,2026-03-26,2026-03-26
ICICI Bank Canada,A,E,no,-,5000,3.12,3.45,3.61,3.6,3.78,2026-03-26,2026-03-26
ICICI Bank Canada,N,A,no,-,5000,3.12,3.45,3.61,3.6,3.78,2026-03-26,2026-03-26
League Savings & Mort,A,E,no,-,5000,2.5,2.5,2.5,2.5,2.5,2026-03-26,2026-03-26
League Savings & Mort,N,A,no,-,5000,2.5,2.5,2.5,2.5,2.5,2026-03-26,2026-03-26
MCAN Mortgage Corp.,A,E,no,-,5000,3.17,3.56,3.74,3.74,3.88,2026-03-26,2026-03-26
MCAN Mortgage Corp.,N,A,no,-,5000,3.17,3.56,3.74,3.74,3.88,2026-03-26,2026-03-26
Manulife Bank Agt.,A,E,no,-,5000,2.95,3.3,3.4,3.4,3.6,2026-03-26,2026-03-26
Manulife Bank Agt.,N,A,no,-,5000,2.95,3.3,3.4,3.4,3.6,2026-03-26,2026-03-26
Manulife Trust Co. Agt.,A,E,no,-,5000,2.95,3.3,3.4,3.4,3.6,2026-03-26,2026-03-26
Manulife Trust Co. Agt.,N,A,no,-,5000,2.95,3.3,3.4,3.4,3.6,2026-03-26,2026-03-26
NatCan Trust Agent Ser.,A,E,no,-,5000,2.55,2.75,2.85,2.9,3.05,2026-03-26,2026-03-26
NatCan Trust Agent Ser.,N,A,no,-,5000,2.55,2.75,2.85,2.9,3.05,2026-03-26,2026-03-26
NatCan Trust Agent Ser.,N,A,cashable,30,5000,1.6,,,,,2026-03-26,2026-03-26
National Bank Agent Ser,A,E,no,-,5000,2.55,2.75,2.85,2.9,3.05,2026-03-26,2026-03-26
National Bank Agent Ser,N,A,no,-,5000,2.55,2.75,2.85,2.9,3.05,2026-03-26,2026-03-26
National Bank Agent Ser,N,A,cashable,30,5000,1.6,,,,,2026-03-26,2026-03-26
RFA Bank of Canada,A,E,no,-,5000,,3.57,3.75,3.75,3.83,2026-03-26,2026-03-26
RFA Bank of Canada,N,A,no,-,5000,3.21,3.57,3.75,3.75,3.83,2026-03-26,2026-03-26
RFA Bank of Canada,N,A,cashable,90,5000,1.0,,,,,2026-03-26,2026-03-26
