Financial Institution,Compound Frequency,Payment Frequency,Redeemable,Redeemable Term,Minimum Deposit,1_y,2_y,3_y,4_y,5_y,6_y,quote_date,settle_date
B2B Bank,A,E,no,-,5000,4.05,3.77,3.75,3.65,3.61,,2024-09-16,2024-09-16
B2B Bank,N,A,no,-,5000,4.05,3.77,3.75,3.65,3.61,,2024-09-16,2024-09-16
Community Trust,A,E,no,-,5000,4.28,4.04,3.97,3.83,3.79,,2024-09-16,2024-09-16
Community Trust,N,A,no,-,5000,4.28,4.04,3.97,3.83,3.79,,2024-09-16,2024-09-16
Effort Trust,A,E,no,-,5000,4.0,3.7,3.7,3.5,3.5,,2024-09-16,2024-09-16
Effort Trust,N,A,no,-,5000,4.0,3.7,3.7,3.5,3.5,,2024-09-16,2024-09-16
Equitable Bank,A,E,no,-,5000,4.18,3.93,3.84,3.73,3.73,,2024-09-16,2024-09-16
Equitable Bank,N,A,no,-,5000,4.18,3.93,3.84,3.73,3.73,,2024-09-16,2024-09-16
Equitable Bank,N,A,cashable,30 days,5000,3.25,,,,,,2024-09-16,2024-09-16
FirstOntario CU,A,E,no,-,5000,4.06,3.8,3.76,3.65,3.61,,2024-09-16,2024-09-16
FirstOntario CU,N,A,no,-,5000,4.06,3.8,3.76,3.65,3.61,,2024-09-16,2024-09-16
General Bank of Canada,A,E,no,-,5000,4.12,3.93,3.84,3.61,3.73,,2024-09-16,2024-09-16
General Bank of Canada,N,A,no,-,5000,4.12,3.93,3.84,3.61,3.73,,2024-09-16,2024-09-16
Haventree Bank,A,E,no,-,5000,4.18,3.96,3.91,3.83,3.79,,2024-09-16,2024-09-16
Haventree Bank,N,A,no,-,5000,4.18,3.96,3.91,3.83,3.79,,2024-09-16,2024-09-16
Home Trust Company-Agent,A,E,no,-,5000,4.0,3.8,3.75,3.67,3.62,,2024-09-16,2024-09-16
Home Trust Company-Agent,N,A,no,-,5000,4.0,3.8,3.75,3.67,3.62,,2024-09-16,2024-09-16
Home Trust Company-Agent,N,A,cashable,30 days,5000,3.35,,,,,,2024-09-16,2024-09-16
Home Trust Company-Agent,N,A,cashable,90 days,5000,3.45,,,,,,2024-09-16,2024-09-16
ICICI Bank Canada,A,E,no,-,5000,3.94,3.7,3.65,3.55,3.55,,2024-09-16,2024-09-16
ICICI Bank Canada,N,A,no,-,5000,3.94,3.7,3.65,3.55,3.55,,2024-09-16,2024-09-16
League Savings & Mort,A,E,no,-,5000,4.22,3.97,3.89,3.8,3.77,,2024-09-16,2024-09-16
League Savings & Mort,N,A,no,-,5000,4.22,3.97,3.89,3.8,3.77,,2024-09-16,2024-09-16
MCAN Mortgage Corp.,A,E,no,-,5000,2.0,2.0,2.0,2.0,2.0,,2024-09-16,2024-09-16
MCAN Mortgage Corp.,N,A,no,-,5000,2.0,2.0,2.0,2.0,2.0,,2024-09-16,2024-09-16
Manulife Bank,A,E,no,-,5000,3.7,3.65,3.61,3.56,3.51,,2024-09-16,2024-09-16
Manulife Bank,N,A,no,-,5000,3.7,3.65,3.61,3.56,3.51,,2024-09-16,2024-09-16
Manulife Trust,A,E,no,-,5000,3.7,3.65,3.61,3.56,3.51,,2024-09-16,2024-09-16
Manulife Trust,N,A,no,-,5000,3.7,3.65,3.61,3.56,3.51,,2024-09-16,2024-09-16
NatCan Trust Agent Ser.,A,E,no,-,5000,3.65,3.45,3.4,3.4,3.45,,2024-09-16,2024-09-16
NatCan Trust Agent Ser.,N,A,no,-,5000,3.65,3.45,3.4,3.4,3.45,,2024-09-16,2024-09-16
NatCan Trust Agent Ser.,N,A,cashable,30 days,5000,3.05,,,,,,2024-09-16,2024-09-16
National Bank Agent Ser,A,E,no,-,5000,3.65,3.45,3.4,3.4,3.45,,2024-09-16,2024-09-16
National Bank Agent Ser,N,A,no,-,5000,3.65,3.45,3.4,3.4,3.45,,2024-09-16,2024-09-16
National Bank Agent Ser,N,A,cashable,30 days,5000,3.05,,,,,,2024-09-16,2024-09-16
RFA Bank of Canada,A,E,no,-,5000,,4.0,3.92,3.0,3.0,,2024-09-16,2024-09-16
RFA Bank of Canada,N,A,no,-,5000,4.23,4.0,3.92,3.0,3.0,,2024-09-16,2024-09-16
RFA Bank of Canada,N,A,cashable,90 days,5000,3.0,,,,,,2024-09-16,2024-09-16
