CUSIP,INVENTORY,ISSUER,COUPON,MATURITY,PRICE,YIELD,quote_date,settle_date
683078GB9,250000,ONTARIO ELECTRICITY FINA,8.5,2025-05-26 00:00:00,102.399,2.509181940924199,2024-12-30,2024-12-31
683078GD5,250000,ONTARIO ELECTRICITY FINA,9,2025-05-26 00:00:00,102.607,2.488610623870735,2024-12-30,2024-12-31
669827BG1,25000,"NOVA SCOTIA, PROVINCE OF",2.15,2025-06-01 00:00:00,99.854,2.490509616302604,2024-12-30,2024-12-31
013051DQ7,100000,"ALBERTA, PROVINCE OF",2.35,2025-06-01 00:00:00,99.928,2.511042821742794,2024-12-30,2024-12-31
74814ZDE0,250000,"QUEBEC, PROVINCE OF",5.35,2025-06-01 00:00:00,101.174,2.491589950100112,2024-12-30,2024-12-31
563469UE3,1000000,"MANITOBA, PROVINCE OF",2.45,2025-06-02 00:00:00,99.998,2.458042174333937,2024-12-30,2024-12-31
651333FS0,1000000,"NEWFOUNDLAND, PROVINCE O",2.3,2025-06-02 00:00:00,99.913,2.512659745920424,2024-12-30,2024-12-31
68323ACX0,100000,"ONTARIO, PROVINCE OF",2.6,2025-06-02 00:00:00,100.038,2.51170013804059,2024-12-30,2024-12-31
683234JA7,155000,"ONTARIO, PROVINCE OF",9.5,2025-06-02 00:00:00,102.918,2.478764012731704,2024-12-30,2024-12-31
11070TAF5,50000,"BRITISH COLUMBIA, PROVIN",2.85,2025-06-18 00:00:00,100.128,2.57606999144721,2024-12-30,2024-12-31
748148RX3,975000,"QUEBEC, PROVINCE OF",2.6,2025-07-06 00:00:00,100.015,2.570053192752443,2024-12-30,2024-12-31
13521JAC5,76000,CANADA POST CORPORATION,4.08,2025-07-16 00:00:00,100.739,2.699058739686003,2024-12-30,2024-12-31
642866GR2,1000000,"NEW BRUNSWICK, PROVINCE",1.8,2025-08-14 00:00:00,99.485,2.638077353002407,2024-12-30,2024-12-31
74814ZEV1,100000,"QUEBEC, PROVINCE OF",2.75,2025-09-01 00:00:00,100.035,2.693489575673609,2024-12-30,2024-12-31
803854KM9,573000,"SASKATCHEWAN, PROVINCE O",0.8,2025-09-02 00:00:00,98.823,2.586388177554571,2024-12-30,2024-12-31
56344ZPH6,100000,"MANITOBA, PROVINCE OF",4.4,2025-09-05 00:00:00,101.136,2.689870462471377,2024-12-30,2024-12-31
68333ZAK3,250000,"ONTARIO, PROVINCE OF",1.75,2025-09-08 00:00:00,99.37,2.68220794929699,2024-12-30,2024-12-31
683234JQ2,250000,"ONTARIO, PROVINCE OF",8.5,2025-12-02 00:00:00,105.275,2.655901295128409,2024-12-30,2024-12-31
748148PZ0,240000,"QUEBEC, PROVINCE OF",8.5,2026-04-01 00:00:00,107.124,2.66186872630884,2024-12-30,2024-12-31
013051DT1,338000,"ALBERTA, PROVINCE OF",2.2,2026-06-01 00:00:00,99.387,2.642709277557749,2024-12-30,2024-12-31
563469UJ2,1000000,"MANITOBA, PROVINCE OF",2.55,2026-06-02 00:00:00,99.848,2.658947482951096,2024-12-30,2024-12-31
651333FV3,867000,"NEWFOUNDLAND, PROVINCE O",3,2026-06-02 00:00:00,100.468,2.661088406972536,2024-12-30,2024-12-31
803854KB3,1000000,"SASKATCHEWAN, PROVINCE O",2.55,2026-06-02 00:00:00,99.855,2.653889290693986,2024-12-30,2024-12-31
683078GG8,222000,ONTARIO ELECTRICITY FINA,8.25,2026-06-22 00:00:00,107.897,2.75014074860545,2024-12-30,2024-12-31
642866GK7,1000000,"NEW BRUNSWICK, PROVINCE",2.6,2026-08-14 00:00:00,99.819,2.713772566780943,2024-12-30,2024-12-31
74814ZEX7,100000,"QUEBEC, PROVINCE OF",2.5,2026-09-01 00:00:00,99.619,2.734371061925696,2024-12-30,2024-12-31
68333ZAJ6,710000,"ONTARIO, PROVINCE OF",1.85,2027-02-01 00:00:00,98.37,2.657642790577421,2024-12-30,2024-12-31
748148SA2,975000,"QUEBEC, PROVINCE OF",1.85,2027-02-13 00:00:00,98.435,2.613275033756949,2024-12-30,2024-12-31
669827EB9,250000,"NOVA SCOTIA, PROVINCE OF",6.6,2027-06-01 00:00:00,109.064,2.70052573165147,2024-12-30,2024-12-31
013051DW4,36000,"ALBERTA, PROVINCE OF",2.55,2027-06-01 00:00:00,99.609,2.717690279524587,2024-12-30,2024-12-31
669827GA9,1000000,"NOVA SCOTIA, PROVINCE OF",2.1,2027-06-01 00:00:00,98.533,2.730765766986132,2024-12-30,2024-12-31
563469UP8,975000,"MANITOBA, PROVINCE OF",2.6,2027-06-02 00:00:00,99.677,2.738327190449259,2024-12-30,2024-12-31
68323AEE0,832000,"ONTARIO, PROVINCE OF",2.6,2027-06-02 00:00:00,99.712,2.723259362971818,2024-12-30,2024-12-31
803854KE7,25000,"SASKATCHEWAN, PROVINCE O",2.65,2027-06-02 00:00:00,99.805,2.733294040175718,2024-12-30,2024-12-31
11070TAL2,640000,"BRITISH COLUMBIA, PROVIN",2.55,2027-06-18 00:00:00,99.576,2.728837096149141,2024-12-30,2024-12-31
642866GM3,282000,"NEW BRUNSWICK, PROVINCE",2.35,2027-08-14 00:00:00,99.003,2.746070077954509,2024-12-30,2024-12-31
74814ZFB4,100000,"QUEBEC, PROVINCE OF",2.75,2027-09-01 00:00:00,99.873,2.798942846049453,2024-12-30,2024-12-31
68333ZAM9,100000,"ONTARIO, PROVINCE OF",1.05,2027-09-08 00:00:00,95.545,2.783115554943,2024-12-30,2024-12-31
651333GK6,250000,"NEWFOUNDLAND, PROVINCE O",3.85,2027-10-17 00:00:00,102.654,2.853724831974228,2024-12-30,2024-12-31
110709EJ7,250000,"BRITISH COLUMBIA, PROVIN",6.15,2027-11-19 00:00:00,109.19,2.808917133967004,2024-12-30,2024-12-31
68333ZAW7,975000,"ONTARIO, PROVINCE OF",3.6,2028-03-08 00:00:00,102.297,2.839638099684943,2024-12-30,2024-12-31
651333EE2,250000,"NEWFOUNDLAND, PROVINCE O",6.15,2028-04-17 00:00:00,109.881,2.97677611633127,2024-12-30,2024-12-31
669827GD3,660000,"NOVA SCOTIA, PROVINCE OF",1.1,2028-06-01 00:00:00,94.404,2.829233701202088,2024-12-30,2024-12-31
651333FZ4,960000,"NEWFOUNDLAND, PROVINCE O",2.85,2028-06-02 00:00:00,99.799,2.911741573125832,2024-12-30,2024-12-31
68333ZAC1,100000,"ONTARIO, PROVINCE OF",2.9,2028-06-02 00:00:00,99.994,2.901423560338514,2024-12-30,2024-12-31
563469UR4,1000000,"MANITOBA, PROVINCE OF",3,2028-06-02 00:00:00,100.346,2.892579019051109,2024-12-30,2024-12-31
642866GN1,995000,"NEW BRUNSWICK, PROVINCE",3.1,2028-08-14 00:00:00,100.663,2.905236057980557,2024-12-30,2024-12-31
74814ZFD0,250000,"QUEBEC, PROVINCE OF",2.75,2028-09-01 00:00:00,99.336,2.941761026603502,2024-12-30,2024-12-31
68333ZAZ0,1000000,"ONTARIO, PROVINCE OF",3.4,2028-09-08 00:00:00,101.674,2.916756953403684,2024-12-30,2024-12-31
803854KF4,285000,"SASKATCHEWAN, PROVINCE O",3.05,2028-12-02 00:00:00,100.449,2.927532690784321,2024-12-30,2024-12-31
110709GH9,1000000,"BRITISH COLUMBIA, PROVIN",2.95,2028-12-18 00:00:00,100.15,2.909474279340178,2024-12-30,2024-12-31
642866ET0,250000,"NEW BRUNSWICK, PROVINCE",5.65,2028-12-27 00:00:00,109.908,2.996134613104075,2024-12-30,2024-12-31
683234LJ5,121000,"ONTARIO, PROVINCE OF",6.5,2029-03-08 00:00:00,113.948,2.932741581001381,2024-12-30,2024-12-31
68333ZBE6,100000,"ONTARIO, PROVINCE OF",4,2029-03-08 00:00:00,104.104,2.949527379349802,2024-12-30,2024-12-31
669827GF8,250000,"NOVA SCOTIA, PROVINCE OF",4.05,2029-06-01 00:00:00,104.472,2.962041499972881,2024-12-30,2024-12-31
68333ZAE7,835000,"ONTARIO, PROVINCE OF",2.7,2029-06-02 00:00:00,99.032,2.934780769516561,2024-12-30,2024-12-31
563469UT0,1000000,"MANITOBA, PROVINCE OF",2.75,2029-06-02 00:00:00,99.196,2.944990058896652,2024-12-30,2024-12-31
110709EK4,1000000,"BRITISH COLUMBIA, PROVIN",5.7,2029-06-18 00:00:00,111.413,2.952193740257032,2024-12-30,2024-12-31
74814ZFF5,50000,"QUEBEC, PROVINCE OF",2.3,2029-09-01 00:00:00,97.123,2.964364463320653,2024-12-30,2024-12-31
56344ZQC6,920000,"MANITOBA, PROVINCE OF",3.25,2029-09-05 00:00:00,101.13,2.988668479824371,2024-12-30,2024-12-31
01306ZCV1,828000,"ALBERTA, PROVINCE OF",2.9,2029-09-20 00:00:00,99.697,2.968695087755786,2024-12-30,2024-12-31
748148QJ5,250000,"QUEBEC, PROVINCE OF",6,2029-10-01 00:00:00,113.105,3.016668916065997,2024-12-30,2024-12-31
68333ZAR8,518000,"ONTARIO, PROVINCE OF",1.55,2029-11-01 00:00:00,93.624,2.97554185699727,2024-12-30,2024-12-31
803854JN9,100000,"SASKATCHEWAN, PROVINCE O",6.35,2030-01-25 00:00:00,115.18,3.090367671015123,2024-12-30,2024-12-31
013051EG8,804000,"ALBERTA, PROVINCE OF",2.05,2030-06-01 00:00:00,94.915,3.075953740181519,2024-12-30,2024-12-31
563469UV5,920000,"MANITOBA, PROVINCE OF",2.05,2030-06-02 00:00:00,94.77,3.105616740804422,2024-12-30,2024-12-31
